,Arcella arenaria,Arcella arenaria compressa,Arcella catinus,Arcella costata,Arcella discoides,Arcella gibbosa,Archerella flavum,Assulina muscorum,Assulina seminulum,Awerintzewia cyclostoma,Bullinularia indica,Centropyxis cassis,Centropyxis ecornis,Centropyxis minuta,Centropyxis orbicularis,Corythion dubium,Euglypha ciliata,Euglypha ciliata glabra,Euglypha compressa,Euglypha compressa glabra,Euglypha laevis,Euglypha strigosa glabra,Euglypha tuberculata,Heleopera rosea,Heleopera sphagni,Heleopera sylvatica,Hyalosphenia elegans,Hyalosphenia papilio,Nebela collaris,Argynnia dentistoma,Alabasta militaris,Nebela tincta,Trigonopyxis arcula
1,0,0,0,0,0,0,925,617,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,308,308,308,0,0,0,0
15,0,0,0,7706.7,0,3853.3,0,3853.3,0,0,0,0,15413.3,0,1926.7,0,0,0,0,0,5780,0,0,0,0,32753.3,0,0,25046.7,0,0,0,0
20,0,0,0,0,0,1926.7,1926.7,0,0,0,0,0,0,0,3853.3,0,0,0,0,0,1926.7,0,0,0,0,1926.7,0,0,1926.7,0,0,0,0
26,0,0,0,3082.7,0,0,1541.3,0,0,0,0,0,0,0,4624,0,0,0,0,0,0,0,0,0,0,6165.3,0,0,0,0,0,0,1541.3
30,0,0,0,0,0,0,1360,0,0,0,0,0,0,0,2720,0,0,1360,0,0,1360,0,0,0,0,4080,0,0,0,0,0,0,1360
35,0,0,440.4,440.4,0,0,0,440.4,0,0,0,0,1761.5,0,0,0,0,0,0,0,0,0,0,0,0,880.8,0,440.4,2201.9,0,0,0,0
40,0,0,220.2,0,0,0,220.2,0,0,0,0,0,0,0,440.4,0,0,0,0,0,440.4,0,0,0,0,0,0,0,440.4,0,0,0,0
45,0,0,0,1445,0,1445,0,0,0,0,0,0,0,0,2890,0,0,0,0,0,1445,0,0,0,2890,76585,0,0,2890,0,0,0,0
50,0,0,1926.7,0,0,0,1926.7,0,0,1926.7,0,0,1926.7,0,0,0,0,0,0,0,1926.7,0,0,0,0,7706.7,0,0,3853.3,0,0,0,0
55,0,0,990.9,0,0,0,0,0,0,0,0,0,990.9,0,0,0,0,0,0,0,990.9,0,0,0,0,2972.6,0,0,0,0,0,0,0
60,0,0,867,867,289,0,867,0,0,0,0,0,0,0,289,0,0,0,0,0,867,0,0,0,578,2023,0,0,578,0,0,0,0
65,0,0,867,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,289,0,0,0,289,2023,0,0,289,0,0,0,0
70,0,0,430.1,0,0,0,215.1,0,0,0,0,0,215.1,0,0,860.3,0,0,0,0,2043.2,0,0,0,322.6,0,0,0,0,0,0,0,0
75,0,256.9,642.2,128.4,0,0,0,0,256.9,0,0,0,128.4,0,128.4,0,0,0,0,0,256.9,128.4,0,0,0,642.2,0,0,642.2,0,0,0,0
80,0,0,0,0,192.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.3,0,0,0,0,0,0,0,385.3,0,0,0,0
85,1813.3,0,0,453.3,0,0,0,0,453.3,0,906.7,453.3,0,2266.7,1360,0,0,0,0,0,11786.7,0,0,0,0,1813.3,0,0,1813.3,0,0,0,906.7
90,1874.6,3436.8,0,0,0,0,312.4,312.4,0,0,0,0,312.4,0,0,0,0,0,0,0,624.9,937.3,312.4,0,312.4,2811.9,0,0,1562.2,0,937.3,0,0
95,11278,4699.2,0,0,0,0,0,2819.5,0,0,0,0,939.8,0,0,0,939.8,0,0,0,939.8,1879.7,939.8,11278,0,5639,0,0,5639,0,3759.3,0,1879.7
100,17125.9,22263.7,0,0,0,0,0,0,0,0,1712.6,0,1712.6,0,0,1712.6,0,0,0,1712.6,6850.4,0,8563,3425.2,3425.2,10275.6,0,0,1712.6,0,3425.2,1712.6,1712.6
106,6850.4,0,2568.9,0,856.3,0,2568.9,856.3,856.3,0,856.3,0,0,0,856.3,0,0,0,1712.6,0,0,0,1712.6,23120,5137.8,5137.8,0,0,856.3,0,0,856.3,0
110,2802.4,2802.4,700.6,0,700.6,0,0,0,0,0,0,0,0,700.6,700.6,700.6,0,0,0,0,2101.8,0,0,7006.1,3503,18215.8,0,0,700.6,0,700.6,0,0
115,4495.6,3853.3,0,0,642.2,0,0,1284.4,0,0,0,0,0,642.2,642.2,642.2,0,0,0,642.2,1926.7,0,0,4495.6,642.2,1284.4,0,0,642.2,642.2,642.2,0,0
120,11357.2,6489.8,0,0,0,0,0,811.2,811.2,0,0,0,0,811.2,0,811.2,0,811.2,0,0,2433.7,0,0,3244.9,1622.5,9734.7,0,0,1622.5,811.2,2433.7,0,0
125,4867.4,486.7,0,486.7,0,0,0,973.5,0,0,0,0,0,486.7,0,0,0,973.5,0,0,1460.2,0,0,486.7,486.7,4380.6,0,0,3407.2,0,973.5,0,0
130,8073.7,734,0,0,0,0,0,734,0,0,0,0,0,0,0,0,0,1467.9,734,734,0,0,734,734,734,1467.9,0,734,734,0,734,1467.9,734
135,1156,867,0,289,0,0,0,0,289,0,0,0,0,289,0,1734,0,0,0,0,0,0,0,0,0,867,289,0,289,0,289,578,0
140,1675.4,1340.3,0,0,0,0,0,335.1,1005.2,0,0,335.1,0,0,0,335.1,0,0,0,0,670.1,0,0,0,0,3685.8,0,0,335.1,0,335.1,670.1,0
150,481.7,1926.7,0,0,481.7,0,481.7,1445,481.7,0,0,0,0,963.3,481.7,0,0,481.7,0,0,0,0,0,0,3853.3,10115,0,0,481.7,0,0,481.7,481.7
155,1700,680,0,0,0,0,1020,680,0,0,0,0,0,1020,340,0,0,0,0,0,0,0,0,0,0,1020,0,2040,340,0,680,340,0
160,792.7,792.7,0,264.2,264.2,0,1056.9,0,0,0,0,0,0,528.5,264.2,0,0,0,0,264.2,0,0,0,0,0,2906.5,0,0,264.2,0,264.2,792.7,264.2
170,361.3,361.3,361.3,0,0,0,1083.8,361.3,0,0,0,0,0,722.5,361.3,0,0,0,0,0,0,0,0,0,361.3,1445,361.3,361.3,361.3,0,361.3,0,0
175,2528.8,1806.3,0,0,0,0,0,0,0,0,0,0,0,361.3,0,361.3,0,0,0,0,722.5,0,0,0,361.3,722.5,0,361.3,1806.3,0,0,361.3,0
180,486.7,0,243.4,0,0,0,0,486.7,0,0,0,0,0,0,243.4,243.4,0,0,0,0,973.5,0,0,0,0,243.4,0,0,0,0,0,0,0
185,467.1,116.8,0,0,0,0,0,0,0,0,0,0,0,817.4,0,0,0,0,0,0,0,0,0,0,0,350.3,0,0,0,0,0,116.8,0
190,256.9,0,0,0,0,0,0,0,0,0,0,0,0,513.8,0,256.9,0,0,0,0,256.9,0,0,0,256.9,2055.1,256.9,0,1027.6,0,0,256.9,0
195,578,0,0,0,0,0,385.3,0,0,0,0,0,0,770.7,0,0,0,0,0,192.7,0,192.7,0,0,0,0,0,0,385.3,0,0,192.7,192.7
200,4403.8,0,0,0,550.5,0,0,0,0,0,0,0,550.5,1101,0,2201.9,0,550.5,0,0,2201.9,0,550.5,0,0,8257.1,0,550.5,1101,0,1101,550.5,550.5
205,3082.7,2312,0,0,0,0,14642.7,770.7,0,0,0,0,770.7,2312,0,0,0,770.7,0,0,770.7,0,0,0,770.7,4624,0,6936,770.7,0,0,1541.3,0
210,3626.7,0,0,0,0,0,29013.3,1813.3,0,0,0,0,0,9066.7,0,0,0,0,0,0,906.7,0,0,0,906.7,3626.7,0,1813.3,906.7,0,906.7,0,1813.3
215,3082.7,1027.6,0,0,0,0,2055.1,1027.6,1027.6,0,0,0,1027.6,6165.3,1027.6,0,1027.6,1027.6,1027.6,0,1027.6,0,0,0,1027.6,12330.7,1027.6,0,4110.2,0,5137.8,1027.6,1027.6
220,856.3,0,0,0,0,0,26545.2,856.3,0,0,0,0,856.3,9419.3,856.3,0,0,0,0,0,856.3,0,0,0,1712.6,856.3,0,856.3,856.3,0,856.3,0,0
225,1926.7,963.3,0,0,0,0,51056.7,1926.7,963.3,0,0,0,0,11560,0,0,0,963.3,0,0,0,0,0,0,0,963.3,0,1926.7,963.3,0,0,0,963.3
230,963.3,0,0,0,963.3,0,88626.7,963.3,1926.7,0,0,0,0,963.3,0,0,0,0,0,0,0,0,963.3,0,963.3,1926.7,0,3853.3,963.3,0,0,0,963.3
235,0,0,0,0,0,0,62754.3,5504.8,3302.9,0,0,0,0,4403.8,0,0,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0
240,1622.5,0,0,0,0,0,45428.8,811.2,1622.5,0,0,0,0,0,0,811.2,0,0,0,0,0,0,0,0,0,811.2,0,4867.4,811.2,0,0,0,0
245,0,1027.6,0,0,0,0,121251.6,8220.4,1027.6,0,0,0,0,1027.6,0,1027.6,0,0,0,0,1027.6,0,0,0,0,2055.1,0,4110.2,1027.6,0,0,0,0
250,1445,0,0,0,0,0,128605,5780,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17340,0,0,2890,0,0
255,0,0,0,0,0,0,69360,7706.7,2568.9,0,0,0,0,1284.4,0,1284.4,0,0,0,0,26973.3,0,6422.2,0,0,0,0,6422.2,1284.4,0,0,1284.4,0
260,3556.9,0,0,0,0,0,60467.7,4742.6,1185.6,0,0,0,0,2371.3,0,1185.6,0,0,0,0,3556.9,0,2371.3,0,0,1185.6,0,3556.9,3556.9,0,0,2371.3,0
265,0,3082.7,0,0,0,0,30826.7,1541.3,3082.7,0,0,0,0,10789.3,0,0,0,0,0,1541.3,1541.3,0,3082.7,0,0,1541.3,0,1541.3,1541.3,0,0,3082.7,0
270,963.3,963.3,963.3,0,0,0,31790,2890,0,0,0,0,963.3,0,0,963.3,0,0,0,0,963.3,0,1926.7,0,0,0,0,963.3,963.3,0,0,0,0
275,0,1712.6,0,0,0,0,75354.1,1712.6,0,0,0,0,0,856.3,0,0,0,0,0,0,856.3,0,2568.9,0,0,0,856.3,856.3,856.3,0,1712.6,856.3,0
280,3425.2,0,0,0,0,0,34251.9,0,0,0,0,0,1712.6,1712.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1712.6,0,0,0,0,0
